candidate_id,rank,score,reasoning
CAND_0018499,1,0.924823,"Fit summary: Senior Machine Learning Engineer at Zomato is a strong JD match with 7.2 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Senior Machine Learning Engineer at Zomato for 26 months shows a/b, bm25, embedding, embeddings, Staff Machine Learning Engineer at Google for 18 months shows a/b, bm25, embedding, embeddings with coverage of 14 retrieval/ranking signals, 5 evaluation signals, 5 production signals, semantic score 100%, JD coverage score 99%; skill proof is Embeddings (expert, 65 months, 48 endorsements), Information Retrieval (advanced, 27 months, 49 endorsements), Weaviate (expert, 88 months, 6 endorsements), Recommendation Systems (expert, 46 months, 52 endorsements); hireability and trust are Noida, Uttar Pradesh, India; notice 15 days; response rate 0.61; average response time 60h, profile completeness 98%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0081846,2,0.918789,"Fit summary: Lead AI Engineer at Razorpay is a strong JD match with 6.7 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Lead AI Engineer at Razorpay for 27 months shows a/b, bm25, embedding, embeddings, Senior Machine Learning Engineer at Paytm for 52 months shows bm25, embedding, embedding drift, index refresh with coverage of 14 retrieval/ranking signals, 5 evaluation signals, 7 production signals, semantic score 100%, JD coverage score 99%; skill proof is Information Retrieval (expert, 93 months, 59 endorsements), Embeddings (expert, 95 months, 4 endorsements), Elasticsearch (expert, 60 months, 23 endorsements), Recommendation Systems (expert, 62 months, 36 endorsements); hireability and trust are Jaipur, Rajasthan, India; notice 30 days; response rate 0.73; average response time 40h, profile completeness 96%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0077337,3,0.917015,"Fit summary: Staff Machine Learning Engineer at Paytm is a strong JD match with 7.0 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 98%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is Senior NLP Engineer at Razorpay for 14 months shows bm25, embedding, embedding drift, index refresh, current Staff Machine Learning Engineer at Paytm for 19 months shows a/b, embedding, embeddings, production with coverage of 12 retrieval/ranking signals, 2 evaluation signals, 8 production signals, semantic score 100%, JD coverage score 99%; skill proof is Information Retrieval (expert, 61 months, 46 endorsements), Qdrant (expert, 56 months, 21 endorsements), Recommendation Systems (expert, 86 months, 35 endorsements), Python (expert, 82 months, 34 endorsements); hireability and trust are Kochi, Kerala, India; notice 60 days; response rate 0.95; average response time 26h, profile completeness 65%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0002025,4,0.915909,"Fit summary: Senior AI Engineer at Apple is a strong JD match with 5.9 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Senior AI Engineer at Apple for 42 months shows a/b, embedding, embeddings, production, Lead AI Engineer at Aganitha for 28 months shows deployed, latency, matching, ranking with coverage of 13 retrieval/ranking signals, 1 evaluation signal, 6 production signals, semantic score 100%, JD coverage score 99%; skill proof is FAISS (expert, 86 months, 47 endorsements), Recommendation Systems (expert, 56 months, 40 endorsements), Python (expert, 54 months, 30 endorsements), NLP (expert, 38 months, 51 endorsements); hireability and trust are Trivandrum, Kerala, India; notice 30 days; response rate 0.80; average response time 21h, profile completeness 82%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0006418,5,0.911820,"Fit summary: Machine Learning Engineer at Verloop.io is a strong JD match with 5.7 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Machine Learning Engineer at Verloop.io for 40 months shows a/b, ranking, shipped, AI Engineer at Flipkart for 27 months shows monitoring, production with coverage of 10 retrieval/ranking signals, 3 evaluation signals, 3 production signals, semantic score 100%, JD coverage score 99%; skill proof is Embeddings (expert, 71 months, 43 endorsements), Weaviate (expert, 93 months, 9 endorsements), Qdrant (expert, 53 months, 49 endorsements), OpenSearch (expert, 48 months, 55 endorsements); hireability and trust are Gurgaon, Haryana, India; notice 60 days; response rate 0.92; average response time 47h, profile completeness 74%, verified email, verified phone, open to work; risk check is no major penalty signal surfaced."
CAND_0066999,6,0.911789,"Fit summary: Recommendation Systems Engineer at Microsoft is a strong JD match with 5.9 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 98%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Recommendation Systems Engineer at Microsoft for 49 months shows learning-to-rank, ranking, recommendation, relevance labeling, Senior Data Scientist at Amazon for 21 months shows monitoring, production with coverage of 11 retrieval/ranking signals, 1 evaluation signal, 3 production signals, semantic score 100%, JD coverage score 99%; skill proof is Information Retrieval (expert, 46 months, 18 endorsements), FAISS (expert, 54 months, 44 endorsements), OpenSearch (expert, 48 months, 8 endorsements), Embeddings (advanced, 32 months, 6 endorsements); hireability and trust are Delhi, Delhi, India; notice 15 days; response rate 0.63; average response time 11h, profile completeness 73%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0046525,7,0.909536,"Fit summary: Senior Machine Learning Engineer at Genpact AI is a strong JD match with 6.1 years in the JD's 5-9 year seniority band; component evidence is technical 90%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is Senior Machine Learning Engineer at LinkedIn for 25 months shows a/b, bm25, embedding, embeddings, current Senior Machine Learning Engineer at Genpact AI for 48 months shows a/b, embedding, search with coverage of 11 retrieval/ranking signals, 5 evaluation signals, 4 production signals, semantic score 100%, JD coverage score 98%; skill proof is Information Retrieval (advanced, 59 months, 45 endorsements), Qdrant (expert, 44 months, 2 endorsements), Elasticsearch (advanced, 31 months, 24 endorsements), NLP (advanced, 38 months, 9 endorsements); hireability and trust are Pune, Maharashtra, India; notice 60 days; response rate 0.88; average response time 12h, profile completeness 63%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0064326,8,0.908926,"Fit summary: Search Engineer at Sarvam AI is a strong JD match with 7.6 years in the JD's 5-9 year seniority band; component evidence is technical 97%, career 96%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Search Engineer at Sarvam AI for 31 months shows learning-to-rank, ranking, relevance labeling, search, Machine Learning Engineer at Freshworks for 24 months shows embedding, embeddings, evaluation framework, pinecone with coverage of 11 retrieval/ranking signals, 3 evaluation signals, 2 production signals, semantic score 100%, JD coverage score 98%; skill proof is Weaviate (expert, 51 months, 47 endorsements), Python (expert, 60 months, 25 endorsements), Milvus (advanced, 58 months, 1 endorsements), Semantic Search (advanced, 37 months, 31 endorsements); hireability and trust are Gurgaon, Haryana, India; notice 45 days; response rate 0.94; average response time 14h, profile completeness 54%, verified email, verified phone, open to work; risk check is no major penalty signal surfaced."
CAND_0068811,9,0.908743,"Fit summary: Applied ML Engineer at Freshworks is a strong JD match with 8.0 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Applied ML Engineer at Freshworks for 19 months shows a/b, embedding, embeddings, ranking, Recommendation Systems Engineer at Meesho for 25 months shows learning-to-rank, ranking, recommendation, relevance labeling with coverage of 11 retrieval/ranking signals, 5 evaluation signals, 3 production signals, semantic score 100%, JD coverage score 99%; skill proof is Qdrant (expert, 70 months, 41 endorsements), Pinecone (expert, 86 months, 49 endorsements), OpenSearch (expert, 70 months, 42 endorsements), Embeddings (advanced, 30 months, 33 endorsements); hireability and trust are Pune, Maharashtra, India; notice 30 days; response rate 0.42; average response time 27h, profile completeness 71%, verified email, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0041669,10,0.904028,"Fit summary: Recommendation Systems Engineer at CRED is a strong JD match with 8.0 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 96%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Recommendation Systems Engineer at CRED for 37 months shows learning-to-rank, ranking, recommendation, relevance labeling, NLP Engineer at Yellow.ai for 6 months shows a/b, embedding, embeddings, ranking with coverage of 12 retrieval/ranking signals, 3 evaluation signals, 3 production signals, semantic score 100%, JD coverage score 98%; skill proof is Information Retrieval (advanced, 55 months, 21 endorsements), Milvus (expert, 76 months, 11 endorsements), FAISS (advanced, 38 months, 7 endorsements), Semantic Search (expert, 93 months, 7 endorsements); hireability and trust are Noida, Uttar Pradesh, India; notice 60 days; response rate 0.77; average response time 4h, profile completeness 62%, verified email, verified phone, open to work; risk check is no major penalty signal surfaced."
